79,節哀唷二之宮同學(請別憂傷了二之宮君),富士見文庫,鈴木大輔,已完成,2010-11-17,1249250字
80,青葉君與宇宙人,MF文庫J,松野秋鳴,已完成,2010-11-15,265572字
81,琦莉,電擊文庫,壁井有可子,已完成,2010-11-15,952466字
82,七姬物語,電擊文庫,高野和,已完成,2012-07-06,750080字
83,秋吉同學幫幫忙！,HJ文庫,不破悠,已完成,2010-11-10,352432字
84,奇幻貴公子(惡靈獵人),講談社,小野不由美,已完成,2010-07-20,759268字
85,AIR 青空,游戲劇本,key,已完成,2010-11-10,599135字
87
87,薔薇的瑪利亞,角川文庫,十文字青,已完成,2018-02-12,3969921字
88,輕小說的快樂寫作法,GA文庫,本田透,連載中,2017-07-30,574165字
89,撲殺天使朵庫蘿,電擊文庫,れろフネイわ,已完成,2014-12-22,864728字
90,乃木阪春香的秘密,電擊文庫,五十嵐雄策,已完成,2013-04-09,1630328字
91,世界系列,講談社,西尾維新,連載中,2011-04-09,449627字
92,梅格與賽隆,電擊文庫,時雨澤惠一,已完成,2012-11-14,589834字
93,魔法使之夜,游戲劇本,奈須蘑菇,連載中,2009-03-10,25961字
94,魔法少女奈葉,其他文庫,都築真紀,已完成,2009-03-10,66877字
95,魔法學園MA,Fami通文庫,�Y一郎,連載中,2013-02-01,1082217字
96,魔法人力派遣公司(出租魔法使),角川文庫,三田誠,已完成,2013-07-08,2125877字
97,MM一族,MF文庫J,松野秋鳴,已完成,2011-04-29,978802字
98,模造王女騷動記,HJ文庫,�Y一郎,已完成,2010-11-03,298763字
99,秒速5厘米,MF文庫J,新海誠/加納新太,已完成,2011-07-09,188712字
100,魔界戰記迪斯凱亞,Fami通文庫,神代創,已完成,2015-03-25,406534字
101,魔法戰士李維,富士見文庫,水野良,連載中,2014-03-17,730269字
102,涼宮春日物語,角川文庫,谷川流,連載中,2013-05-04,1278475字
103,羅德斯島戰記,角川文庫,水野良,已完成,2010-04-06,996460字
104,羅德斯島傳說,角川文庫,水野良,已完成,2009-03-11,560733字
105,莉莉亞與特雷茲,電擊文庫,時雨澤惠一,已完成,2014-12-22,459360字
106,憐Ren,角川文庫,水口敬文,已完成,2010-11-02,393592字
107,LOVE YOU 我的勇者公主,集英社,七月隆文,連載中,2010-07-25,478919字
108,龍之界點,集英社,城崎火也,已完成,2012-09-22,890043字
109,藍蘭島漂流記,其他文庫,霧海正悟,連載中,2011-03-11,237855字
110,戀上不死之男的少女,HJ文庫,空野一樹,連載中,2013-06-19,415913字
111,小小破壞者 Little Busters! SSS,其他文庫,系井健一,已完成,2010-10-31,218009字
112,空之境界,講談社,奈須蘑菇,已完成,2014-06-16,493302字
113,狂亂家族日記,Fami通文庫,日日日,連載中,2012-10-03,1020683字
114,kanon 雪之少女官方小說,其他文庫,清水真理子,已完成,2009-03-11,345035字
